UF;CÓDIGO;NOME;Valor;
SP;350010;Adamantina;202;
SP;350020;Adolfo;21;
SP;350030;Aguaí;171;
SP;350040;Águas da Prata;62;
SP;350050;Águas de Lindóia;134;
SP;350055;Águas de Santa Bárbara;23;
SP;350060;Águas de São Pedro;27;
SP;350070;Agudos;241;
SP;350075;Alambari;36;
SP;350080;Alfredo Marcondes;29;
SP;350090;Altair;16;
SP;350100;Altinópolis;173;
SP;350110;Alto Alegre;24;
SP;350115;Alumínio;129;
SP;350120;Álvares Florence;17;
SP;350130;Álvares Machado;151;
SP;350140;Álvaro de Carvalho;16;
SP;350150;Alvinlândia;20;
SP;350160;Americana;1573;
SP;350170;Américo Brasiliense;221;
SP;350180;Américo de Campos;59;
SP;350190;Amparo;351;
SP;350200;Analândia;27;
SP;350210;Andradina;329;
SP;350220;Angatuba;148;
SP;350230;Anhembi;20;
SP;350240;Anhumas;18;
SP;350250;Aparecida;258;
SP;350260;Aparecida d`Oeste;22;
SP;350270;Apiaí;175;
SP;350275;Araçariguama;158;
SP;350280;Araçatuba;1382;
SP;350290;Araçoiaba da Serra;205;
SP;350300;Aramina;52;
SP;350310;Arandu;26;
SP;350315;Arapeí;15;
SP;350320;Araraquara;1483;
SP;350330;Araras;869;
SP;350335;Arco-Íris;15;
SP;350340;Arealva;26;
SP;350350;Areias;29;
SP;350360;Areiópolis;67;
SP;350370;Ariranha;72;
SP;350380;Artur Nogueira;339;
SP;350390;Arujá;505;
SP;350395;Aspásia;9;
SP;350400;Assis;586;
SP;350410;Atibaia;808;
SP;350420;Auriflama;94;
SP;350430;Avaí;37;
SP;350440;Avanhandava;86;
SP;350450;Avaré;460;
SP;350460;Bady Bassitt;97;
SP;350470;Balbinos;11;
SP;350480;Bálsamo;48;
SP;350490;Bananal;70;
SP;350500;Barão de Antonina;23;
SP;350510;Barbosa;72;
SP;350520;Bariri;228;
SP;350530;Barra Bonita;240;
SP;350535;Barra do Chapéu;42;
SP;350540;Barra do Turvo;32;
SP;350550;Barretos;852;
SP;350560;Barrinha;218;
SP;350570;Barueri;2780;
SP;350580;Bastos;125;
SP;350590;Batatais;326;
SP;350600;Bauru;2810;
SP;350610;Bebedouro;579;
SP;350620;Bento de Abreu;17;
SP;350630;Bernardino de Campos;63;
SP;350635;Bertioga;337;
SP;350640;Bilac;56;
SP;350650;Birigui;744;
SP;350660;Biritiba-Mirim;209;
SP;350670;Boa Esperança do Sul;51;
SP;350680;Bocaina;63;
SP;350690;Bofete;87;
SP;350700;Boituva;295;
SP;350710;Bom Jesus dos Perdões;161;
SP;350715;Bom Sucesso de Itararé;13;
SP;350720;Borá;10;
SP;350730;Boracéia;35;
SP;350740;Borborema;82;
SP;350745;Borebi;21;
SP;350750;Botucatu;974;
SP;350760;Bragança Paulista;839;
SP;350770;Braúna;15;
SP;350775;Brejo Alegre;27;
SP;350780;Brodowski;100;
SP;350790;Brotas;127;
SP;350800;Buri;158;
SP;350810;Buritama;93;
SP;350820;Buritizal;26;
SP;350830;Cabrália Paulista;26;
SP;350840;Cabreúva;311;
SP;350850;Caçapava;602;
SP;350860;Cachoeira Paulista;235;
SP;350870;Caconde;84;
SP;350880;Cafelândia;122;
SP;350890;Caiabu;16;
SP;350900;Caieiras;445;
SP;350910;Caiuá;29;
SP;350920;Cajamar;566;
SP;350925;Cajati;191;
SP;350930;Cajobi;49;
SP;350940;Cajuru;78;
SP;350945;Campina do Monte Alegre;29;
SP;350950;Campinas;7397;
SP;350960;Campo Limpo Paulista;665;
SP;350970;Campos do Jordão;304;
SP;350980;Campos Novos Paulista;18;
SP;350990;Cananéia;55;
SP;350995;Canas;24;
SP;351000;Cândido Mota;202;
SP;351010;Cândido Rodrigues;20;
SP;351015;Canitar;41;
SP;351020;Capão Bonito;235;
SP;351030;Capela do Alto;104;
SP;351040;Capivari;319;
SP;351050;Caraguatatuba;892;
SP;351060;Carapicuíba;2323;
SP;351070;Cardoso;67;
SP;351080;Casa Branca;146;
SP;351090;Cássia dos Coqueiros;8;
SP;351100;Castilho;137;
SP;351110;Catanduva;853;
SP;351120;Catiguá;83;
SP;351130;Cedral;78;
SP;351140;Cerqueira César;91;
SP;351150;Cerquilho;256;
SP;351160;Cesário Lange;93;
SP;351170;Charqueada;73;
SP;351190;Clementina;38;
SP;351200;Colina;100;
SP;351210;Colômbia;146;
SP;351220;Conchal;169;
SP;351230;Conchas;97;
SP;351240;Cordeirópolis;122;
SP;351250;Coroados;18;
SP;351260;Coronel Macedo;18;
SP;351270;Corumbataí;37;
SP;351280;Cosmópolis;507;
SP;351290;Cosmorama;44;
SP;351300;Cotia;1341;
SP;351310;Cravinhos;195;
SP;351320;Cristais Paulista;43;
SP;351330;Cruzália;12;
SP;351340;Cruzeiro;546;
SP;351350;Cubatão;893;
SP;351360;Cunha;123;
SP;351370;Descalvado;161;
SP;351380;Diadema;3367;
SP;351385;Dirce Reis;11;
SP;351390;Divinolândia;60;
SP;351400;Dobrada;40;
SP;351410;Dois Córregos;124;
SP;351420;Dolcinópolis;13;
SP;351430;Dourado;60;
SP;351440;Dracena;343;
SP;351450;Duartina;77;
SP;351460;Dumont;29;
SP;351470;Echaporã;50;
SP;351480;Eldorado;100;
SP;351490;Elias Fausto;143;
SP;351492;Elisiário;22;
SP;351495;Embaúba;11;
SP;351500;Embu das Artes;1223;
SP;351510;Embu-Guaçu;399;
SP;351512;Emilianópolis;20;
SP;351515;Engenheiro Coelho;104;
SP;351518;Espírito Santo do Pinhal;201;
SP;351519;Espírito Santo do Turvo;21;
SP;351520;Estrela d`Oeste;37;
SP;351530;Estrela do Norte;21;
SP;351535;Euclides da Cunha Paulista;94;
SP;351540;Fartura;68;
SP;351550;Fernandópolis;493;
SP;351560;Fernando Prestes;42;
SP;351565;Fernão;6;
SP;351570;Ferraz de Vasconcelos;1187;
SP;351580;Flora Rica;12;
SP;351590;Floreal;13;
SP;351600;Flórida Paulista;67;
SP;351610;Florínia;26;
SP;351620;Franca;2468;
SP;351630;Francisco Morato;934;
SP;351640;Franco da Rocha;750;
SP;351650;Gabriel Monteiro;11;
SP;351660;Gália;33;
SP;351670;Garça;265;
SP;351680;Gastão Vidigal;18;
SP;351685;Gavião Peixoto;43;
SP;351690;General Salgado;51;
SP;351700;Getulina;47;
SP;351710;Glicério;23;
SP;351720;Guaiçara;62;
SP;351730;Guaimbê;78;
SP;351740;Guaíra;212;
SP;351750;Guapiaçu;96;
SP;351760;Guapiara;180;
SP;351770;Guará;114;
SP;351780;Guaraçaí;41;
SP;351790;Guaraci;41;
SP;351800;Guarani d`Oeste;14;
SP;351810;Guarantã;65;
SP;351820;Guararapes;229;
