ADAMANTINA;-51.1783802873;-21.7658958012;-50.964439584;-21.3993510506
ADOLFO;-49.7464855828;-21.364587513;-49.5675637925;-21.1970148256
AGUAÍ;-47.2339726169;-22.1476868706;-46.861195602;-21.9675042633
ÁGUAS DA PRATA;-46.7586147637;-22.0175315398;-46.6123870883;-21.8184140069
ÁGUAS DE LINDÓIA;-46.6606352826;-22.5162510154;-46.5488098124;-22.4354429669
ÁGUAS DE SANTA BÁRBARA;-49.379132086;-23.0364807076;-49.1676315585;-22.721920624
ÁGUAS DE SÃO PEDRO;-47.8891296411;-22.6158291629;-47.8617940498;-22.5863891629
AGUDOS;-49.3856966422;-22.7846676936;-48.8509631251;-22.3374685318
ALAMBARI;-47.9678377937;-23.6135016437;-47.7787183511;-23.4874386896
ALFREDO MARCONDES;-51.4692870275;-22.0039578318;-51.3249816486;-21.8722435461
ALTAIR;-49.21947689;-20.6501373139;-48.9901133903;-20.415745795
ALTINÓPOLIS;-47.629135;-21.2143564812;-47.1812761751;-20.8091430863
ALTO ALEGRE;-50.3055048804;-21.7019187904;-50.0608534363;-21.5277488353
ALUMÍNIO;-47.325245;-23.6036543614;-47.2297690087;-23.463439
ÁLVARES FLORENCE;-50.0277452416;-20.416664965;-49.7996932415;-20.1721547275
ÁLVARES MACHADO;-51.6206626392;-22.2858505039;-51.3925127846;-21.9522602965
ÁLVARO DE CARVALHO;-49.8508225131;-22.1406546776;-49.6336291985;-22.0261300857
ALVINLÂNDIA;-49.8196273756;-22.5260771953;-49.7017429376;-22.3765599872
AMERICANA;-47.3880621366;-22.7850317644;-47.1934953162;-22.6630620714
AMÉRICO BRASILIENSE;-48.147824512;-21.7704122695;-47.9097949113;-21.6777475788
AMÉRICO DE CAMPOS;-49.8670277444;-20.3847587358;-49.6457583424;-20.19487196
AMPARO;-46.9322098307;-22.8529874404;-46.6808283295;-22.5412039839
ANALÂNDIA;-47.799943;-22.2400916233;-47.5498844067;-22.0130511493
ANDRADINA;-51.4816126364;-21.0855767839;-51.1341909115;-20.6461898694
ANGATUBA;-48.656314916;-23.6358223615;-48.1896430745;-23.2611333083
ANHEMBI;-48.3104684065;-22.9981704095;-48.01428;-22.5939633488
ANHUMAS;-51.5202393241;-22.5156651217;-51.3464154808;-22.1980557956
APARECIDA;-45.2816761636;-23.0080006136;-45.1884214552;-22.8098583901
APARECIDA D'OESTE;-50.9908369875;-20.5593222259;-50.83854798;-20.3980462589
APIAÍ;-49.1199012142;-24.5860993501;-48.489941583;-24.242961473
ARAÇARIGUAMA;-47.1424481223;-23.516267;-46.995036;-23.3511112993
ARAÇATUBA;-50.8996007687;-21.4554004394;-50.3422183876;-20.8305159112
ARAÇOIABA DA SERRA;-47.7653468182;-23.631314342;-47.549535;-23.4545714207
ARAMINA;-47.8995142726;-20.2471057384;-47.7368393585;-20.0661772693
ARANDU;-49.1513205609;-23.2657641737;-48.973620905;-23.0857990491
ARAPEÍ;-44.5333782978;-22.7719113289;-44.3597120089;-22.5723552433
ARARAQUARA;-48.3965821238;-21.9724064604;-47.9459380272;-21.5393260179
ARARAS;-47.4839585018;-22.4768623667;-47.1749252525;-22.1939711646
ARCO-ÍRIS;-50.5399731277;-21.8518560164;-50.3059766037;-21.6851358902
AREALVA;-49.1354206058;-22.2194843569;-48.8535079197;-21.9333039835
