UF;CÓDIGO;NOME;Variável A;Variável B;Variável C;Resultado de A+B+C;
SP;350010;Adamantina;3728;1600;702;6030;
SP;350020;Adolfo;470;153;83;706;
SP;350030;Aguaí;4611;1125;801;6537;
SP;350040;Águas da Prata;725;186;151;1062;
SP;350050;Águas de Lindóia;2335;559;428;3322;
SP;350055;Águas de Santa Bárbara;792;245;166;1203;
SP;350060;Águas de São Pedro;629;203;81;913;
SP;350070;Agudos;4921;1537;917;7375;
SP;350075;Alambari;789;271;86;1146;
SP;350080;Alfredo Marcondes;434;138;74;646;
SP;350090;Altair;478;156;109;743;
SP;350100;Altinópolis;2060;644;361;3065;
SP;350110;Alto Alegre;436;147;77;660;
SP;350115;Alumínio;3203;763;470;4436;
SP;350120;Álvares Florence;397;152;78;627;
SP;350130;Álvares Machado;3190;1076;556;4822;
SP;350140;Álvaro de Carvalho;517;134;114;765;
SP;350150;Alvinlândia;488;123;95;706;
SP;350160;Americana;26060;10239;5175;41474;
SP;350170;Américo Brasiliense;4983;1533;1061;7577;
SP;350180;Américo de Campos;742;264;102;1108;
SP;350190;Amparo;7950;2804;1351;12105;
SP;350200;Analândia;604;182;125;911;
SP;350210;Andradina;6390;2376;1210;9976;
SP;350220;Angatuba;3228;825;591;4644;
SP;350230;Anhembi;988;263;166;1417;
SP;350240;Anhumas;496;160;88;744;
SP;350250;Aparecida;5057;1589;950;7596;
SP;350260;Aparecida d`Oeste;514;175;104;793;
SP;350270;Apiaí;4144;1415;648;6207;
SP;350275;Araçariguama;3143;739;620;4502;
SP;350280;Araçatuba;21627;7396;3846;32869;
SP;350290;Araçoiaba da Serra;4038;1339;824;6201;
SP;350300;Aramina;664;171;117;952;
SP;350310;Arandu;866;276;136;1278;
SP;350315;Arapeí;408;114;67;589;
SP;350320;Araraquara;25154;8821;4315;38290;
SP;350330;Araras;14856;4915;2827;22598;
SP;350335;Arco-Íris;240;59;48;347;
SP;350340;Arealva;1040;288;134;1462;
SP;350350;Areias;598;179;113;890;
SP;350360;Areiópolis;1769;461;311;2541;
SP;350370;Ariranha;1048;330;211;1589;
SP;350380;Artur Nogueira;6474;1612;1237;9323;
SP;350390;Arujá;13747;4422;2189;20358;
SP;350395;Aspásia;208;56;38;302;
SP;350400;Assis;11317;3549;2230;17096;
SP;350410;Atibaia;19886;6263;3259;29408;
SP;350420;Auriflama;1546;567;242;2355;
SP;350430;Avaí;691;265;121;1077;
SP;350440;Avanhandava;1544;341;302;2187;
SP;350450;Avaré;11546;3304;2104;16954;
SP;350460;Bady Bassitt;1959;663;368;2990;
SP;350470;Balbinos;159;43;41;243;
SP;350480;Bálsamo;826;315;181;1322;
SP;350490;Bananal;1425;454;225;2104;
SP;350500;Barão de Antonina;451;158;77;686;
SP;350510;Barbosa;952;243;187;1382;
SP;350520;Bariri;4158;1218;765;6141;
SP;350530;Barra Bonita;3967;1453;779;6199;
SP;350535;Barra do Chapéu;915;295;153;1363;
SP;350540;Barra do Turvo;1415;402;220;2037;
SP;350550;Barretos;13184;4532;2212;19928;
SP;350560;Barrinha;4598;1192;903;6693;
SP;350570;Barueri;51884;17691;9378;78953;
SP;350580;Bastos;2821;798;517;4136;
SP;350590;Batatais;7386;2381;1250;11017;
SP;350600;Bauru;44773;14784;7180;66737;
SP;350610;Bebedouro;9347;3133;1746;14226;
SP;350620;Bento de Abreu;300;104;55;459;
SP;350630;Bernardino de Campos;1317;396;256;1969;
SP;350635;Bertioga;9023;2574;1621;13218;
SP;350640;Bilac;819;247;123;1189;
SP;350650;Birigui;13211;4467;2430;20108;
SP;350660;Biritiba-Mirim;4311;1264;718;6293;
SP;350670;Boa Esperança do Sul;1989;567;329;2885;
SP;350680;Bocaina;1498;414;310;2222;
SP;350690;Bofete;1372;378;242;1992;
SP;350700;Boituva;7268;2278;1246;10792;
SP;350710;Bom Jesus dos Perdões;3080;723;551;4354;
SP;350715;Bom Sucesso de Itararé;777;256;121;1154;
SP;350720;Borá;129;34;27;190;
SP;350730;Boracéia;608;175;122;905;
SP;350740;Borborema;1731;514;277;2522;
SP;350745;Borebi;464;101;79;644;
SP;350750;Botucatu;17016;5414;3206;25636;
SP;350760;Bragança Paulista;21054;6737;3749;31540;
SP;350770;Braúna;611;173;105;889;
SP;350775;Brejo Alegre;391;134;89;614;
SP;350780;Brodowski;3124;761;545;4430;
SP;350790;Brotas;3120;903;532;4555;
SP;350800;Buri;3328;687;483;4498;
SP;350810;Buritama;1873;666;361;2900;
SP;350820;Buritizal;556;113;116;785;
SP;350830;Cabrália Paulista;668;306;109;1083;
SP;350840;Cabreúva;7229;2186;1350;10765;
SP;350850;Caçapava;12164;3846;2176;18186;
SP;350860;Cachoeira Paulista;4417;1326;810;6553;
SP;350870;Caconde;2654;778;389;3821;
SP;350880;Cafelândia;2111;762;406;3279;
SP;350890;Caiabu;485;232;81;798;
SP;350900;Caieiras;13021;4781;2505;20307;
SP;350910;Caiuá;657;225;113;995;
SP;350920;Cajamar;10313;3477;2051;15841;
SP;350925;Cajati;5043;1489;781;7313;
SP;350930;Cajobi;1119;358;210;1687;
SP;350940;Cajuru;3393;965;604;4962;
SP;350945;Campina do Monte Alegre;955;271;152;1378;
SP;350950;Campinas;131873;43707;24939;200519;
SP;350960;Campo Limpo Paulista;11439;3939;2248;17626;
SP;350970;Campos do Jordão;7636;2128;1400;11164;
SP;350980;Campos Novos Paulista;710;156;120;986;
SP;350990;Cananéia;2102;578;326;3006;
SP;350995;Canas;755;236;142;1133;
SP;351000;Cândido Mota;3738;1311;725;5774;
SP;351010;Cândido Rodrigues;302;83;56;441;
SP;351015;Canitar;885;187;152;1224;
SP;351020;Capão Bonito;7100;2213;1229;10542;
SP;351030;Capela do Alto;2914;741;479;4134;
SP;351040;Capivari;6933;1942;1378;10253;
SP;351050;Caraguatatuba;16073;5115;2686;23874;
SP;351060;Carapicuíba;55332;17640;7659;80631;
SP;351070;Cardoso;1411;449;274;2134;
SP;351080;Casa Branca;3417;1125;667;5209;
SP;351090;Cássia dos Coqueiros;466;123;63;652;
SP;351100;Castilho;2290;712;514;3516;
SP;351110;Catanduva;12745;4926;2429;20100;
SP;351120;Catiguá;846;270;139;1255;
SP;351130;Cedral;988;298;143;1429;
SP;351140;Cerqueira César;2720;909;491;4120;
SP;351150;Cerquilho;5223;1569;1023;7815;
SP;351160;Cesário Lange;2497;543;463;3503;
SP;351170;Charqueada;2074;583;415;3072;
SP;351190;Clementina;946;274;218;1438;
SP;351200;Colina;2360;639;322;3321;
SP;351210;Colômbia;963;336;147;1446;
SP;351220;Conchal;4009;1137;756;5902;
SP;351230;Conchas;2516;660;387;3563;
SP;351240;Cordeirópolis;3032;771;531;4334;
SP;351250;Coroados;620;195;117;932;
SP;351260;Coronel Macedo;682;216;106;1004;
SP;351270;Corumbataí;600;191;106;897;
SP;351280;Cosmópolis;8095;2288;1609;11992;
SP;351290;Cosmorama;808;253;160;1221;
SP;351300;Cotia;38279;11543;6061;55883;
SP;351310;Cravinhos;4643;1222;876;6741;
SP;351320;Cristais Paulista;1170;337;219;1726;
SP;351330;Cruzália;233;94;40;367;
SP;351340;Cruzeiro;10594;3757;1964;16315;
