UF;CÓDIGO;NOME;Valor;
SP;350010;Adamantina;2.2;
SP;350020;Adolfo;2.4;
SP;350030;Aguaí;2.2;
SP;350040;Águas da Prata;2.5;
SP;350050;Águas de Lindóia;2.0;
SP;350055;Águas de Santa Bárbara;2.6;
SP;350060;Águas de São Pedro;2.4;
SP;350070;Agudos;2.7;
SP;350075;Alambari;1.8;
SP;350080;Alfredo Marcondes;2.2;
SP;350090;Altair;2.6;
SP;350100;Altinópolis;2.3;
SP;350110;Alto Alegre;2.2;
SP;350115;Alumínio;6.5;
SP;350120;Álvares Florence;1.7;
SP;350130;Álvares Machado;2.2;
SP;350140;Álvaro de Carvalho;2.2;
SP;350150;Alvinlândia;2.4;
SP;350160;Americana;3.0;
SP;350170;Américo Brasiliense;3.1;
SP;350180;Américo de Campos;2.0;
SP;350190;Amparo;2.7;
SP;350200;Analândia;2.6;
SP;350210;Andradina;2.5;
SP;350220;Angatuba;2.3;
SP;350230;Anhembi;2.5;
SP;350240;Anhumas;2.1;
SP;350250;Aparecida;2.1;
SP;350260;Aparecida d`Oeste;1.8;
SP;350270;Apiaí;2.3;
SP;350275;Araçariguama;3.6;
SP;350280;Araçatuba;2.9;
SP;350290;Araçoiaba da Serra;1.0;
SP;350300;Aramina;2.0;
SP;350310;Arandu;1.9;
SP;350315;Arapeí;1.9;
SP;350320;Araraquara;2.9;
SP;350330;Araras;3.0;
SP;350335;Arco-Íris;2.0;
SP;350340;Arealva;2.0;
SP;350350;Areias;2.0;
SP;350360;Areiópolis;2.2;
SP;350370;Ariranha;3.8;
SP;350380;Artur Nogueira;2.4;
SP;350390;Arujá;3.3;
SP;350395;Aspásia;1.9;
SP;350400;Assis;2.5;
SP;350410;Atibaia;3.0;
SP;350420;Auriflama;1.7;
SP;350430;Avaí;2.0;
SP;350440;Avanhandava;2.5;
SP;350450;Avaré;2.2;
SP;350460;Bady Bassitt;2.7;
SP;350470;Balbinos;1.8;
SP;350480;Bálsamo;2.6;
SP;350490;Bananal;2.0;
SP;350500;Barão de Antonina;1.8;
SP;350510;Barbosa;1.8;
SP;350520;Bariri;2.2;
SP;350530;Barra Bonita;2.5;
SP;350535;Barra do Chapéu;1.8;
SP;350540;Barra do Turvo;2.5;
SP;350550;Barretos;2.5;
SP;350560;Barrinha;2.2;
SP;350570;Barueri;4.7;
SP;350580;Bastos;2.2;
SP;350590;Batatais;2.6;
SP;350600;Bauru;3.1;
SP;350610;Bebedouro;2.4;
SP;350620;Bento de Abreu;2.6;
SP;350630;Bernardino de Campos;1.9;
SP;350635;Bertioga;2.9;
SP;350640;Bilac;2.0;
SP;350650;Birigui;1.9;
SP;350660;Biritiba-Mirim;2.2;
SP;350670;Boa Esperança do Sul;1.9;
SP;350680;Bocaina;2.5;
SP;350690;Bofete;2.1;
SP;350700;Boituva;3.0;
SP;350710;Bom Jesus dos Perdões;2.5;
SP;350715;Bom Sucesso de Itararé;2.1;
SP;350720;Borá;2.6;
SP;350730;Boracéia;2.2;
SP;350740;Borborema;1.9;
SP;350745;Borebi;2.3;
SP;350750;Botucatu;3.6;
SP;350760;Bragança Paulista;2.8;
SP;350770;Braúna;2.2;
SP;350775;Brejo Alegre;3.2;
SP;350780;Brodowski;2.1;
SP;350790;Brotas;2.5;
SP;350800;Buri;2.0;
SP;350810;Buritama;2.2;
SP;350820;Buritizal;3.5;
SP;350830;Cabrália Paulista;2.1;
SP;350840;Cabreúva;3.6;
SP;350850;Caçapava;3.7;
SP;350860;Cachoeira Paulista;2.4;
SP;350870;Caconde;2.0;
SP;350880;Cafelândia;2.0;
SP;350890;Caiabu;2.0;
SP;350900;Caieiras;3.5;
SP;350910;Caiuá;2.2;
SP;350920;Cajamar;4.0;
SP;350925;Cajati;3.3;
SP;350930;Cajobi;2.2;
SP;350940;Cajuru;2.4;
SP;350945;Campina do Monte Alegre;2.3;
SP;350950;Campinas;4.3;
SP;350960;Campo Limpo Paulista;4.3;
SP;350970;Campos do Jordão;2.3;
SP;350980;Campos Novos Paulista;2.5;
SP;350990;Cananéia;2.2;
SP;350995;Canas;1.7;
SP;351000;Cândido Mota;2.6;
SP;351010;Cândido Rodrigues;2.1;
SP;351015;Canitar;2.3;
SP;351020;Capão Bonito;2.1;
SP;351030;Capela do Alto;2.0;
SP;351040;Capivari;2.6;
SP;351050;Caraguatatuba;2.6;
SP;351060;Carapicuíba;2.3;
SP;351070;Cardoso;2.4;
SP;351080;Casa Branca;2.4;
SP;351090;Cássia dos Coqueiros;1.8;
SP;351100;Castilho;3.7;
SP;351110;Catanduva;2.7;
SP;351120;Catiguá;2.5;
SP;351130;Cedral;2.3;
SP;351140;Cerqueira César;2.6;
SP;351150;Cerquilho;2.7;
SP;351160;Cesário Lange;2.2;
SP;351170;Charqueada;2.7;
SP;351190;Clementina;3.1;
SP;351200;Colina;2.2;
SP;351210;Colômbia;2.6;
SP;351220;Conchal;2.1;
SP;351230;Conchas;2.0;
SP;351240;Cordeirópolis;3.4;
SP;351250;Coroados;2.1;
SP;351260;Coronel Macedo;1.9;
SP;351270;Corumbataí;2.6;
SP;351280;Cosmópolis;2.9;
SP;351290;Cosmorama;2.5;
SP;351300;Cotia;3.7;
SP;351310;Cravinhos;3.1;
SP;351320;Cristais Paulista;2.1;
SP;351330;Cruzália;2.5;
SP;351340;Cruzeiro;3.8;
SP;351350;Cubatão;5.3;
SP;351360;Cunha;2.1;
SP;351370;Descalvado;2.8;
SP;351380;Diadema;3.7;
SP;351385;Dirce Reis;2.9;
SP;351390;Divinolândia;2.2;
SP;351400;Dobrada;2.1;
SP;351410;Dois Córregos;2.3;
SP;351420;Dolcinópolis;2.1;
SP;351430;Dourado;2.0;
SP;351440;Dracena;2.1;
SP;351450;Duartina;2.0;
SP;351460;Dumont;2.3;
SP;351470;Echaporã;2.2;
SP;351480;Eldorado;2.3;
SP;351490;Elias Fausto;3.3;
SP;351492;Elisiário;2.5;
SP;351495;Embaúba;2.3;
SP;351500;Embu das Artes;2.9;
SP;351510;Embu-Guaçu;2.5;
SP;351512;Emilianópolis;2.0;
SP;351515;Engenheiro Coelho;3.1;
SP;351518;Espírito Santo do Pinhal;2.4;
SP;351519;Espírito Santo do Turvo;2.2;
SP;351520;Estrela d`Oeste;2.2;
SP;351530;Estrela do Norte;1.9;
SP;351535;Euclides da Cunha Paulista;2.0;
SP;351540;Fartura;1.7;
SP;351550;Fernandópolis;2.2;
SP;351560;Fernando Prestes;2.1;
SP;351565;Fernão;2.2;
SP;351570;Ferraz de Vasconcelos;2.5;
SP;351580;Flora Rica;2.3;
SP;351590;Floreal;2.2;
SP;351600;Flórida Paulista;2.1;
SP;351610;Florínia;2.1;
SP;351620;Franca;2.2;
SP;351630;Francisco Morato;2.6;
SP;351640;Franco da Rocha;3.1;
SP;351650;Gabriel Monteiro;1.6;
SP;351660;Gália;2.1;
SP;351670;Garça;2.2;
SP;351680;Gastão Vidigal;2.9;
SP;351685;Gavião Peixoto;5.3;
SP;351690;General Salgado;2.3;
SP;351700;Getulina;2.5;
SP;351710;Glicério;1.7;
SP;351720;Guaiçara;2.2;
SP;351730;Guaimbê;2.2;
SP;351740;Guaíra;2.7;
SP;351750;Guapiaçu;2.8;
SP;351760;Guapiara;2.2;
SP;351770;Guará;2.4;
SP;351780;Guaraçaí;2.1;
SP;351790;Guaraci;2.4;
SP;351800;Guarani d`Oeste;2.4;
SP;351810;Guarantã;2.0;
SP;351820;Guararapes;2.4;
SP;351830;Guararema;3.7;
SP;351840;Guaratinguetá;3.4;
SP;351850;Guareí;2.0;
SP;351860;Guariba;2.9;
SP;351870;Guarujá;3.3;
SP;351880;Guarulhos;3.7;
SP;351885;Guatapará;2.9;
SP;351890;Guzolândia;2.0;
SP;351900;Herculândia;2.3;
SP;351905;Holambra;2.8;
SP;351907;Hortolândia;5.5;
SP;351910;Iacanga;2.6;
SP;351920;Iacri;2.3;
SP;351925;Iaras;2.6;
SP;351930;Ibaté;2.9;
SP;351940;Ibirá;2.0;
SP;351950;Ibirarema;2.6;
SP;351960;Ibitinga;1.7;
SP;351970;Ibiúna;2.6;
SP;351980;Icém;2.5;
SP;351990;Iepê;2.3;
SP;352000;Igaraçu do Tietê;2.2;
SP;352010;Igarapava;3.0;
SP;352020;Igaratá;2.2;
SP;352030;Iguape;2.1;
SP;352040;Ilhabela;2.4;
SP;352042;Ilha Comprida;2.2;
SP;352044;Ilha Solteira;4.4;
SP;352050;Indaiatuba;3.6;
SP;352060;Indiana;1.9;
SP;352070;Indiaporã;2.3;
SP;352080;Inúbia Paulista;2.3;
SP;352090;Ipaussu;2.1;
SP;352100;Iperó;3.4;
SP;352110;Ipeúna;2.8;
SP;352115;Ipiguá;2.2;
SP;352120;Iporanga;1.9;
SP;352130;Ipuã;2.5;
SP;352140;Iracemápolis;2.4;
SP;352150;Irapuã;1.9;
SP;352160;Irapuru;2.4;
SP;352170;Itaberá;2.2;
SP;352180;Itaí;2.5;
SP;352190;Itajobi;2.2;
SP;352200;Itaju;2.0;
SP;352210;Itanhaém;3.1;
SP;352215;Itaóca;2.3;
SP;352220;Itapecerica da Serra;3.5;
SP;352230;Itapetininga;2.3;
SP;352240;Itapeva;2.2;
SP;352250;Itapevi;3.5;
