Municipio,Salario,Casamentos,Matriculas
Elias Fausto,3.3,143,3517
Onda Verde,2.1,27,797
Sebastianópolis do Sul,2.6,15,496
Ouroeste,3.0,78,1710
Parapuã,3.1,58,1777
Indiana,1.9,30,781
Paulo de Faria,2.4,43,1579
Bragança Paulista,2.8,839,31540
Pederneiras,3.2,334,9100
Santa Rosa de Viterbo,3.0,175,4642
Brodowski,2.1,100,4430
Taquarituba,2.0,150,4731
Borebi,2.3,21,644
Quadra,2.5,7,792
Buri,2.0,158,4498
Nova Odessa,3.3,379,10896
Ouro Verde,2.4,75,1614
Rifaina,2.2,22,709
Cardoso,2.4,67,2134
Inúbia Paulista,2.3,26,684
Morungaba,1.9,92,2672
Penápolis,2.3,324,11000
Boa Esperança do Sul,1.9,51,2885
Alumínio,6.5,129,4436
Osasco,3.6,4868,153444
Urânia,2.3,48,1328
Pirangi,2.3,33,1963
Viradouro,1.7,113,3458
Cananéia,2.2,55,3006
Ibirarema,2.6,56,1325
Matão,2.9,664,14994
Ibaté,2.9,231,7024
Paranapuã,2.1,28,754
Sumaré,4.5,1788,51510
Taiúva,2.2,20,822
Ibirá,2.0,80,1787
Silveiras,1.9,33,1345
Bariri,2.2,228,6141
Itapuí,2.1,52,2351
Piquerobi,1.9,12,604
Itajobi,2.2,71,2339
Saltinho,2.8,63,1391
Tapiraí,2.4,58,1959
Auriflama,1.7,94,2355
Sorocaba,3.6,5180,127235
Divinolândia,2.2,60,2047
Cotia,3.7,1341,55883
Santa Branca,2.8,82,2739
Cachoeira Paulista,2.4,235,6553
Bilac,2.0,56,1189
Holambra,2.8,62,3020
Ribeirão Branco,1.9,118,4837
Iaras,2.6,35,1560
Lins,2.6,527,13794
Elisiário,2.5,22,571
Casa Branca,2.4,146,5209
Tapiratiba,2.5,65,2370
Rinópolis,2.0,53,1606
São João das Duas Pontes,2.5,9,499
Potirendaba,2.8,94,2723
São João da Boa Vista,2.8,544,15391
Dourado,2.0,60,1475
Martinópolis,2.2,146,4462
Brotas,2.5,127,4555
Paulistânia,2.2,15,359
Boracéia,2.2,35,905
Euclides da Cunha Paulista,2.0,94,2199
Florínia,2.1,26,565
Nova Aliança,2.5,27,1092
Lavínia,2.2,26,895
Herculândia,2.3,59,1731
Sabino,2.6,31,949
Cruzeiro,3.8,546,16315
Pratânia,2.3,12,1355
Lençóis Paulista,2.9,448,12778
Suzano,3.3,1705,69237
São Sebastião,3.7,557,18174
Arujá,3.3,505,20358
Igarapava,3.0,187,5383
Parisi,2.5,10,401
Rubinéia,2.2,34,512
Taguaí,1.4,60,2229
Agudos,2.7,241,7375
Mongaguá,2.3,270,12097
Apiaí,2.3,175,6207
Canas,1.7,24,1133
São José dos Campos,4.5,4649,132718
Rio Claro,3.1,1239,35158
Altinópolis,2.3,173,3065
Caconde,2.0,84,3821
Bom Jesus dos Perdões,2.5,161,4354
Rio das Pedras,3.2,254,6154
Juquitiba,1.9,169,7757
Panorama,1.9,99,3189
Ocauçu,2.3,9,762
Riolândia,2.3,84,2060
Marapoama,2.9,14,452
Buritizal,3.5,26,785
Guararema,3.7,169,6323
Capão Bonito,2.1,235,10542
Salto Grande,2.3,49,1727
Pedrinhas Paulista,2.2,22,515
Osvaldo Cruz,2.0,189,5137
Vera Cruz,2.3,54,2037
Luís Antônio,4.4,87,2683
Pongaí,2.1,23,577
